ML Method,Encoding Method,Metric,Value
DecisionTree,leaveoneout,Average Recall,0.97
GaussianNB,leaveoneout,Average Recall,0.6
KNN,leaveoneout,Average Recall,0.74
LogisticRegression,leaveoneout,Average Recall,0.53
MLP,leaveoneout,Average Recall,0.54
NeuralNetwork,leaveoneout,Average Recall,0.55
RandomForest,leaveoneout,Average Recall,0.98
SVM,leaveoneout,Average Recall,0.56
AdaBoost_SAMME,leaveoneout,Average MCC,0.93
DecisionTree,leaveoneout,Average MCC,0.96
GaussianNB,leaveoneout,Average MCC,0.38
KNN,leaveoneout,Average MCC,0.6
LogisticRegression,leaveoneout,Average MCC,0.2
MLP,leaveoneout,Average MCC,0.19
NeuralNetwork,leaveoneout,Average MCC,0.22
RandomForest,leaveoneout,Average MCC,0.96
SVM,leaveoneout,Average MCC,0.27
AdaBoost_SAMME,mca,Average F1 score,0.75
DecisionTree,mca,Average F1 score,0.9
GaussianNB,mca,Average F1 score,0.61
KNN,mca,Average F1 score,0.79
LogisticRegression,mca,Average F1 score,0.67
MLP,mca,Average F1 score,0.76
NeuralNetwork,mca,Average F1 score,0.6
RandomForest,mca,Average F1 score,0.9
SVM,mca,Average F1 score,0.73
AdaBoost_SAMME,mca,Average Accuracy,0.78
DecisionTree,mca,Average Accuracy,0.91
GaussianNB,mca,Average Accuracy,0.64
KNN,mca,Average Accuracy,0.79
LogisticRegression,mca,Average Accuracy,0.7
MLP,mca,Average Accuracy,0.78
NeuralNetwork,mca,Average Accuracy,0.66
RandomForest,mca,Average Accuracy,0.91
SVM,mca,Average Accuracy,0.76
AdaBoost_SAMME,mca,Average Precision,0.76
DecisionTree,mca,Average Precision,0.91
GaussianNB,mca,Average Precision,0.62
KNN,mca,Average Precision,0.79
LogisticRegression,mca,Average Precision,0.66
MLP,mca,Average Precision,0.78
NeuralNetwork,mca,Average Precision,0.58
RandomForest,mca,Average Precision,0.91
SVM,mca,Average Precision,0.73
AdaBoost_SAMME,mca,Average Recall,0.78
DecisionTree,mca,Average Recall,0.91
GaussianNB,mca,Average Recall,0.64
KNN,mca,Average Recall,0.79
LogisticRegression,mca,Average Recall,0.7
MLP,mca,Average Recall,0.78
NeuralNetwork,mca,Average Recall,0.66
RandomForest,mca,Average Recall,0.91
SVM,mca,Average Recall,0.76
AdaBoost_SAMME,mca,Average MCC,0.65
DecisionTree,mca,Average MCC,0.86
GaussianNB,mca,Average MCC,0.44
KNN,mca,Average MCC,0.68
LogisticRegression,mca,Average MCC,0.53
MLP,mca,Average MCC,0.66
NeuralNetwork,mca,Average MCC,0.43
RandomForest,mca,Average MCC,0.86
SVM,mca,Average MCC,0.63
AdaBoost_SAMME,mestimate,Average F1 score,0.47
DecisionTree,mestimate,Average F1 score,0.51
GaussianNB,mestimate,Average F1 score,0.42
KNN,mestimate,Average F1 score,0.5
LogisticRegression,mestimate,Average F1 score,0.46
MLP,mestimate,Average F1 score,0.42
NeuralNetwork,mestimate,Average F1 score,0.45
RandomForest,mestimate,Average F1 score,0.52
